from,to,amount,resource,time
0,3857324222081906331,0.08460011548310042,food,3600
0,2259910298354353514,0.08460011548133295,food,3600
0,5035124306644374405,0.08433515290695048,food,3600
0,7099104265312858997,0.0843351529069496,food,3600
0,4162577571783371511,0.0843351529065881,food,3600
0,3872914673919684658,0.08428987779913477,food,3600
0,7411317709006082536,0.08428499920115229,food,3600
0,5281834068572400655,0.08428499920115051,food,3600
0,3621248449079727248,0.08428499920115051,food,3600
0,934526546601908212,0.08428499920115051,food,3600
0,7085797406123055282,0.08428499920114962,food,3600
0,5618386734817665547,0.08426800660885192,food,3600
0,2707406683678890460,0.08426800660885059,food,3600
0,5409864216197947490,0.08424217109960708,food,3600
0,4117927538770921815,0.08424217109844001,food,3600
0,2425683863709349176,0.08423672910567603,food,3600
0,372272438249712852,0.08423672910393876,food,3600
0,170099324961127998,0.08423672910375402,food,3600
0,272343077214503312,0.08420827923708529,food,3600
0,3984270012928500363,0.08420827923707197,food,3600
0,2678979090894705316,0.08411901989332904,food,3600
0,7328521494405359028,0.08411901989213,food,3600
0,7794713275107781922,0.08411901989031279,food,3600
0,2353100899656919106,0.0841190198830084,food,3600
0,8210950443640207698,0.08410519800426774,food,3600
0,7580175389433036826,0.08408606078798009,food,3600
0,5928195226424848238,0.0840860607879792,food,3600
0,1266832127031511348,0.0840860607879712,food,3600
0,4917166454539893774,0.0839904454014615,food,3600
0,7477928002722920970,0.08397239217902985,food,3600
0,8434750763083856514,0.08397239217899966,food,3600
0,3130145300198676050,0.08397239217899877,food,3600
0,5069075533641540049,0.08397239217899788,food,3600
0,8758744651871039106,0.08397239217899699,food,3600
0,2115873106661485794,0.08393752692978929,food,3600
0,8695151381334581818,0.08393752692978484,food,3600
0,4522795222233603832,0.08393752692977685,food,3600
0,7226743909850653259,0.0839375269297733,food,3600
0,4416626049478240466,0.0839375269240179,food,3600
0,5114880341731151933,0.08392527189017862,food,3600
0,4858930790185542480,0.08391948974928454,food,3600
0,719961591668790961,0.08380293361144275,food,3600
0,7070393983479804756,0.08380293360835367,food,3600
0,6276455125451413422,0.08373548686542875,food,3600
0,4666250249168367442,0.08373548686542875,food,3600
0,6060334183225902191,0.0837354868654252,food,3600
0,3902147037347911333,0.0837354868654252,food,3600
0,2158360232582200307,0.0837354868654252,food,3600
0,2153581155824111259,0.08373548686481236,food,3600
0,862186569292430832,0.08368881743416967,food,3600
0,3857324222081906331,0.08396672440761321,water,3600
0,2259910298354353514,0.08396672440372654,water,3600
0,4162577571783371511,0.08383424312015286,water,3600
0,5035124306644374405,0.0838342431201422,water,3600
0,7099104265312858997,0.08383424312014132,water,3600
0,3872914673919684658,0.08381160556623612,water,3600
0,7411317709006082536,0.083809166267244,water,3600
0,5281834068572400655,0.08380916626724311,water,3600
0,934526546601908212,0.08380916626724311,water,3600
0,7085797406123055282,0.08380916626724222,water,3600
0,3621248449079727248,0.08380916626724222,water,3600
0,5618386734817665547,0.08380066997109559,water,3600
0,2707406683678890460,0.08380066997109292,water,3600
0,5409864216197947490,0.08378775221647139,water,3600
0,4117927538770921815,0.08378775221566315,water,3600
0,2425683863709349176,0.08378503121950409,water,3600
0,372272438249712852,0.08378503121802439,water,3600
0,170099324961127998,0.08378503121698344,water,3600
0,272343077214503312,0.08377080628521583,water,3600
0,3984270012928500363,0.0837708062852025,water,3600
0,2678979090894705316,0.08372617661333237,water,3600
0,7328521494405359028,0.08372617661227544,water,3600
0,7794713275107781922,0.08372617660812054,water,3600
0,2353100899656919106,0.08372617659136594,water,3600
0,8210950443640207698,0.08371926566880039,water,3600
0,5928195226424848238,0.08370969706065967,water,3600
0,7580175389433036826,0.08370969706065878,water,3600
0,1266832127031511348,0.08370969706065345,water,3600
0,4917166454539893774,0.08366188936739682,water,3600
0,7477928002722920970,0.0836528627561961,water,3600
0,8434750763083856514,0.08365286275616857,water,3600
0,3130145300198676050,0.08365286275616768,water,3600
0,8758744651871039106,0.0836528627561659,water,3600
0,5069075533641540049,0.08365286275616413,water,3600
0,2115873106661485794,0.08363543013157049,water,3600
0,8695151381334581818,0.08363543013156605,water,3600
0,4522795222233603832,0.08363543013155805,water,3600
0,7226743909850653259,0.08363543013155272,water,3600
0,4416626049478240466,0.08363543012028529,water,3600
0,5114880341731151933,0.08362930261175627,water,3600
0,4858930790185542480,0.08362641153366823,water,3600
0,719961591668790961,0.08356813347238834,water,3600
0,7070393983479804756,0.08356813346761172,water,3600
0,6276455125451413422,0.083534410099384,water,3600
0,4666250249168367442,0.083534410099384,water,3600
0,2153581155824111259,0.08353441009938045,water,3600
0,6060334183225902191,0.08353441009937868,water,3600
0,3902147037347911333,0.08353441009937868,water,3600
0,2158360232582200307,0.08353441009937868,water,3600
0,862186569292430832,0.08351107538375135,water,3600
0,3857324222081906331,0.08396672440613351,energy,3600
0,2259910298354353514,0.08396672440380826,energy,3600
0,5035124306644374405,0.0838342431201422,energy,3600
0,7099104265312858997,0.08383424312014132,energy,3600
0,4162577571783371511,0.08383424311929843,energy,3600
0,3872914673919684658,0.08381160556623612,energy,3600
0,7411317709006082536,0.083809166267244,energy,3600
0,5281834068572400655,0.08380916626724311,energy,3600
0,934526546601908212,0.08380916626724311,energy,3600
0,7085797406123055282,0.08380916626724222,energy,3600
0,3621248449079727248,0.08380916626724222,energy,3600
0,5618386734817665547,0.08380066997109559,energy,3600
0,2707406683678890460,0.08380066997109292,energy,3600
0,5409864216197947490,0.08378775221647139,energy,3600
0,4117927538770921815,0.08378775221433443,energy,3600
0,2425683863709349176,0.08378503121950409,energy,3600
0,372272438249712852,0.08378503121658198,energy,3600
0,170099324961127998,0.08378503121624803,energy,3600
0,272343077214503312,0.08377080628521583,energy,3600
0,3984270012928500363,0.0837708062852025,energy,3600
0,2678979090894705316,0.08372617661333237,energy,3600
0,7328521494405359028,0.08372617661116699,energy,3600
0,7794713275107781922,0.08372617660837633,energy,3600
0,2353100899656919106,0.08372617659729187,energy,3600
0,8210950443640207698,0.08371926566880039,energy,3600
0,5928195226424848238,0.08370969706065967,energy,3600
0,7580175389433036826,0.08370969706065878,energy,3600
0,1266832127031511348,0.08370969706065345,energy,3600
0,4917166454539893774,0.08366188936739682,energy,3600
0,8434750763083856514,0.08365286275616857,energy,3600
0,3130145300198676050,0.08365286275616768,energy,3600
0,8758744651871039106,0.0836528627561659,energy,3600
0,5069075533641540049,0.08365286275616413,energy,3600
0,7477928002722920970,0.08365286275588524,energy,3600
0,2115873106661485794,0.08363543013157049,energy,3600
0,8695151381334581818,0.08363543013156605,energy,3600
0,4522795222233603832,0.08363543013155805,energy,3600
0,7226743909850653259,0.08363543013155272,energy,3600
0,4416626049478240466,0.08363543012263008,energy,3600
0,5114880341731151933,0.08362930261175627,energy,3600
0,4858930790185542480,0.0836264115354517,energy,3600
0,719961591668790961,0.08356813347238834,energy,3600
0,7070393983479804756,0.08356813346761882,energy,3600
0,6276455125451413422,0.083534410099384,energy,3600
0,4666250249168367442,0.083534410099384,energy,3600
0,6060334183225902191,0.08353441009937868,energy,3600
0,3902147037347911333,0.08353441009937868,energy,3600
0,2158360232582200307,0.08353441009937868,energy,3600
0,2153581155824111259,0.08353441009816542,energy,3600
0,862186569292430832,0.08351107538375135,energy,3600
